"AGE","TIME","UNIT","SEX","GEO","Value","Flag and Footnotes"
"Less than 5 years","2008W37","Number","Total","Belgium","9",""
"Less than 5 years","2008W38","Number","Total","Belgium","14",""
"Less than 5 years","2008W39","Number","Total","Belgium","16",""
"Less than 5 years","2008W40","Number","Total","Belgium","15",""
"Less than 5 years","2008W41","Number","Total","Belgium","10",""
"Less than 5 years","2008W42","Number","Total","Belgium","8",""
"Less than 5 years","2008W43","Number","Total","Belgium","9",""
"Less than 5 years","2008W44","Number","Total","Belgium","7",""
"Less than 5 years","2008W45","Number","Total","Belgium","9",""
"Less than 5 years","2008W46","Number","Total","Belgium","10",""
"Less than 5 years","2008W47","Number","Total","Belgium","8",""
"Less than 5 years","2008W48","Number","Total","Belgium","14",""
"Less than 5 years","2008W49","Number","Total","Belgium","13",""
"Less than 5 years","2008W50","Number","Total","Belgium","16",""
